"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
1.87763177553067,-0.278198460000161,2.15583023553083,0.981527794531889,1.02019174402908,1.23376571892246,1.94593090651101,2.36572956455065,1.93766263626749,2.37399783479418,1.89198992656334,2.41967054449833
2.02098609379373,-0.274863494462126,2.29584958825586,1.28534157302189,1.31440210739572,1.56018535591271,2.02097980337397,2.57071937313775,2.01476521964032,2.5769339568714,1.96220456956456,2.62949460694716
2.10332590302654,-0.397331854256205,2.50065775728274,1.2339915213567,1.29638253505163,1.65968787558089,2.23676916055437,2.76454635401112,2.22342686705602,2.77788864750947,2.14573416428057,2.85558135028492
1.92433213375508,-0.244496906475177,2.16882904023026,1.03387088801379,1.06238775894603,1.25452924021172,1.94773616145883,2.38992191900168,1.94163783993624,2.39602024052427,1.90054846048185,2.43710961997866
2.00284791162713,-0.276821077356136,2.27966898898326,1.26855239440498,1.29840482370454,1.50606100438655,2.00838956328032,2.55094841468621,2.00200563313132,2.5573323448352,1.95759844136885,2.60173953659768
2.04509613446174,-0.330131759742299,2.37522789420404,1.40950271707029,1.44764805398932,1.72531592077673,2.07380629798142,2.67664949042666,2.06564893283176,2.68480685557632,2.00626976980272,2.74418601860536
2.02197325491018,-0.280081413630628,2.30205466854081,1.37501556245068,1.40325100935039,1.6366857051438,2.00800813663607,2.59610120044555,2.00196999753105,2.60213933955056,1.95205008055066,2.65205925653096
1.84415391148676,-0.139517492042762,1.98367140352952,1.13735437863809,1.14587962421589,1.22424155600501,1.74044862138942,2.22689418566963,1.73862550100864,2.22871730605041,1.72186783301914,2.24547497403991
1.94384160457537,-0.196328149659451,2.14016975423482,1.25978926008864,1.27499557731915,1.42151505182043,1.8707643213249,2.40957518714474,1.86751245642477,2.41282705204488,1.83617932499691,2.44416018347273
1.8878872904699,-0.179350803486526,2.06723809395642,1.13376060983713,1.14785880278435,1.29151648944561,1.82478383784704,2.30969235006581,1.82176894488476,2.31270724302809,1.79104780564986,2.34342838226299
1.91464576589359,-0.2191903929787,2.13383615887229,1.03009710653477,1.05315928390033,1.16979220973169,1.9135503017713,2.35412201597328,1.90861846430145,2.35905385344313,1.8836765594364,2.38399575830819
1.86923506272383,-0.25466792697097,2.1239029896948,0.945997567508612,0.979677064526828,1.11292418448992,1.92160178561209,2.3262041937775,1.91439943855149,2.3334065408381,1.88590459487015,2.36190138451944
1.86234782399499,-0.21439423739249,2.07674206138748,0.863645986909092,0.889859134768693,0.997499411428781,1.89205171010778,2.26143241266717,1.88644603884928,2.26703808392567,1.86342720843783,2.29005691433713
1.94180043168729,-0.263318897763713,2.205119329451,0.830201202107144,0.870959745280828,1.00615289302045,2.02758113211769,2.38265752678432,2.01886493384837,2.39137372505363,1.98995393289994,2.42028472600207
1.85838890196013,-0.232298871319459,2.09068777327959,0.727529548988216,0.763715922491662,0.840460688956117,1.93510586818688,2.24626967837231,1.92736742658559,2.2540081199736,1.91095558875846,2.27041995780072
1.82218304784684,-0.196487665375457,2.0186707132223,0.614990564761396,0.64561660247413,0.685668565659269,1.88715522520853,2.15018620123606,1.88060585920764,2.15673556723696,1.87204076278824,2.16530066365636
1.78817955126494,-0.237369397830811,2.02554894909575,0.584875790209849,0.631208302385319,0.651266340846484,1.90047349365892,2.15062440453258,1.89056530433243,2.16053259385907,1.88627590077412,2.16482199741739
1.68192822809513,-0.198353832442738,1.88028206053787,0.508945564614371,0.54623239613315,0.567196819854813,1.77144425368685,1.98911986738889,1.76347047957605,1.99709364149969,1.75898724588978,2.00157687518597
1.83595046601188,-0.403779628042032,2.23973009405391,0.587570401375941,0.712935456121272,0.722036525495117,2.11407839708945,2.36538179101837,2.08726912992435,2.39219105818347,2.0853228698535,2.39413731825433
1.73651609271495,-0.272675977585648,2.0091920703006,0.578790515215875,0.639805165074608,0.734420190928296,1.88541794850429,2.1329661920969,1.87236998986565,2.14601415073554,1.85213660416581,2.16624753643539
1.80338366220998,-0.328735955589587,2.13211961779957,0.631883019090283,0.712280477278474,0.884576391348213,1.99699168513687,2.26724755046226,1.9797987206354,2.28444051496374,1.94295330784366,2.32128592775548
2.01845332982449,-0.489305516588718,2.50775884641321,0.7499303692424,0.895441481770973,1.07575627026316,2.34738653480624,2.66813115802017,2.31626904118576,2.69924865164066,2.27770879528369,2.73780889754272
1.9425060904721,-0.445278222416682,2.38778431288878,0.675243930233477,0.808843038342862,0.929609687681059,2.24338366660009,2.53218495917746,2.21481355039347,2.56075507538409,2.1889876503983,2.58658097537926
1.78855539312128,-0.275786374989403,2.06434176811068,0.615434969929911,0.674402199612684,0.766626356926078,1.93273124422814,2.19595229199323,1.92012112558094,2.20856241064043,1.90039902616884,2.22828451005253
1.75386415650827,-0.269143261090097,2.02300741759836,0.652869971430232,0.706170867839734,0.81302830974724,1.88339143351332,2.16262340168341,1.87199305798606,2.17402177721066,1.84914163647552,2.1968731987212
1.69772777515686,-0.188358586253874,1.88608636141073,0.628519752796852,0.65613720872343,0.709211940153588,1.75167766190907,2.02049506091239,1.74577167992821,2.02640104289326,1.73442166969196,2.0377510531295
1.67257009500468,-0.205435286241957,1.87800538124664,0.69927674937184,0.728828943611162,0.817155353211541,1.72846532613051,2.02754543636276,1.7221456011299,2.03386516136337,1.70325703351813,2.05275372897515
1.74970200835559,-0.186253369459258,1.93595537781485,1.15945145068242,1.17431596434882,1.31396802635804,1.68800714559452,2.18390361003518,1.68482837525081,2.18708238037888,1.65496383725681,2.21694691837289
1.82108610524435,-0.226757226933072,2.04784333217742,1.44061240360241,1.45834938796555,1.74013463914039,1.73976894184598,2.35591772250886,1.73597589478466,2.35971076957019,1.6757162307397,2.41997043361515
1.91770533248016,-0.23191489229595,2.14962022477611,2.0686670594854,2.08162626815396,2.45486662339929,1.70723659573331,2.5920038538189,1.70446527410664,2.59477517544557,1.62464797238013,2.67459247717208
